code,Name
K9L,SMILE CENTRAL CLINIC (At Hougang Mall)
K9M,TOA PAYOH DENTAL CENTRE
K9N,The Harley Street Heart & Cancer Centre
K9O,Lifescan Medical Centre
K9P,Lifescan Medical Centre
K9Q,Acumed Medical Group (At Joo Koon - Fairprice Hub)
K9R,SATA CommHealth Tanjong Pagar Clinic
K9S,K C Yeo Clinic & Surgery for Women Pte Ltd
K9T,"1Aesthetics, Medical & Surgery"
K9U,ANG MO KIO X-RAY CLINIC & LABORATORY
K9V,bsp clinic
K9W,Cairnhill X-Ray and Diagnostic Center
K9X,CHUAH CLINIC & SURGERY PTE LTD
K9Y,Dr Nah & Lee Family Clinic
KA0,Kong Dental Surgery
KA1,MEDIHEALTH BISHAN 24 HOURS CLINIC & SURGERY
KA2,PARKWAY CANCER CENTRE
KA3,Radlink Medicare
KA4,RafflesMedical (Changi Airport T3 Departure Hall)
KA5,RafflesMedical (At Passenger Terminal Building 2 #26-053)
KA6,RAFFLES MEDICAL GROUP
KA7,RafflesMedical
KA8,RafflesMedical (Shaw Centre)
KA9,RafflesMedical (GlobalFoundries)
KAA,SOG - Heng Clinic for Women
KAB,Specialist Centre @ Farrer Park
KAC,STO+G Practice
KAE,TANG MEDICAL & SURGERY PTE LTD
KAF,TAMPINES STREET 11 X-RAY CLINIC
KAG,Thomson Women's Clinic
KAH,WellCare Family Clinic
KAI,ADVANCED DENTAL CLINIC PASIR RIS PTE LTD
KAJ,Astra Centre for Women & Fertility Pte Ltd
KAK,Delta Dental Surgeons
KAL,DIGESTIVE & LIVER SURGERY
KAM,Evan Woo Plastic Surgery
KAN,HEALTHWAY DENTAL CLINIC
KAO,Heartland Dental Pte Ltd
KAP,ISLAND GROUP DENTAL SURGERY
KAQ,JJ Chua Rejuvenative Cosmetic & Laser Surgery
KAR,NEIGHBOURHOOD DENTAL SURGERY
KAS,"NOBEL ENT Head, Neck & Thyroid  Surgery Centre"
KAT,SINGAPORE DENTAL SURGERY
KAU,Simply Dental Pte Ltd
KAV,SMILE INC. DENTAL SURGEONS PTE. LTD.
KAW,Smilearts Dental Studio (Tiong Bahru)
KAX,TAI DENTAL SURGERY
KAY,ASC Clinic for Women
KAZ,MEDIVENE CLINIC & SURGERY
KB0,Thomson Paediatric Centre
KB3,HEALTHWAY DENTAL CLINIC
KB4,"Allergy, Arthritis & Rheumatism Clinic"
KB5,Alpha Clinic & Surgery
KB6,ARCADIA CLINIC
KB7,CRAWFURD MEDICAL
KB8,Fusion Medical & Health Screening Centre
KB9,KOH'S T & T CLINIC AND SURGERY PTE. LTD.
KBA,MEDIHEALTH CLINIC & SURGERY
KBB,O2 Medical Clinic
KBC,PanHealth Family Clinic
KBD,Q Medical Clinic
KBE,SOZO CARDIOLOGY
KBF,The Good Life Medical Center
KBG,Sweng Plastic Aesthetic and Reconstructive Surgery
KBH,GynaeMD Women's Clinic (Clementi)
KBI,Dr. Tan & Partners @ Somerset
KBJ,Onecare Clinic Bukit Panjang
KBK,Radlink Medicare
KBL,RafflesMedical (Rivervale)
KBM,Shenton Medical Group
KBN,Viva Medical Group (Westside)
KBO,C & A Dental Studio @ Parkway Parade Pte Ltd
KBP,Casa Dental
KBQ,HEALTHWAY DENTAL CLINIC
KBR,Julian Lee Ear Nose Throat Specialist
KBS,Luminous Dental Clinic @ 821 Tampines
KBT,OncoCare Cancer Centre
KBU,Nam Fung Dental Centre @ Toa Payoh
KBV,Shinagawa Eye Centre
KBW,T32 Dental Centre At Financial Distict
KBX,TAI DENTAL SURGERY (CITY PLAZA) PTE. LTD.
KBY,Tampines Dental On 81
KBZ,"ENDOSCOPY, VEINS & PILES CENTRE"
KC0,HAFcare OG Clinic
KC1,ORCHARD SCOTTS DENTAL: AESTHETICS AND IMPLANT CENTER PTE. LTD.
KC2,PACIFIC ADVANCE RENAL CARE (SENGKANG)
KC3,PRENATAL DIAGNOSTIC CENTRE
KC4,RenalTeam Dialysis Centre at Ren Ci Community Hospital
KC5,SMILE INC. DENTAL SURGEONS
KC6,SMILE INC. DENTAL SURGEONS
KC7,"Teeth @ Tiong Bahru, Dental Clinic"
KC8,Access Medical (East Coast)
KC9,Access Medical (Whampoa)
KCA,AMK FAMILY CLINIC PTE LTD
KCB,Asian American Radiation Oncology
KCC,Atlas Eye Specialist Centre
KCD,BETTER LIFE PSYCHOLOGICAL MEDICINE CLINIC
KCE,C C Tang Dental Surgery Pte Ltd
KCF,Centre For Screening & Surgery
KCG,Desmond Wai Liver & Gastrointestinal Diseases Centre
KCH,ENT & Sinus Centre
KCI,FIRST AVENUE DENTAL SURGERY
KCJ,Healthwerkz medical centre @ orchard
KCK,HOLLAND DENTAL PTE. LTD.
KCL,Kidney Life Centre
KCM,KOONG & HO SURGERY CENTRE PTE. LTD.
KCN,Koong & Ho Surgery Centre Pte Ltd
kCO,MindChamps Medical Clinic
KCP,Mount Alvernia Outreach Medical Clinic
KCQ,Neua Dental
KCR,Novena MRI Diagnostics
KCS,Nuffield Dental Serangoon Gardens
KCT,Orchard Radiology
KCU,Petite Smiles Children's Dental Clinic
KCV,SENJA GATEWAY FAMILY CLINIC
KCW,Teeth. Q Dental Surgeons
KCX,Tetsuyu Medical Clinic
KCY,THE WISDOM TOOTH CLINIC
KCZ,The ENT Clinic
KD0,THE ORCHARD IMAGING CENTRE PTE LTD
KD1,ADVANCED DENTAL CLINIC PASIR RIS PTE LTD
KD2,CHOO DENTAL SURGERY
KD3,Concord International Hospital
KD4,CROWN DENTAL CLINIC
KD5,Dr Jeremy Chan Medical Clinic
KD6,MY FAMILY CLINIC (PUNGGOL WATERWAY TERRACE)
KD7,Q & M Dental Surgery (Ang Mo Kio Central)
KD8,Standard Clinic & Surgery
KD9,SH TAN KIDNEY AND MEDICAL CLINIC
KDA,The EyeClinic by Dr Cheryl Lee
KDB,TP DENTAL SURGEONS TANGLIN
KDC,VICTORIA DENTALCARE (HOUGANG CAPEVIEW)
KDD,FAMILY CARE MEDICAL CENTRE PTE LTD
KDE,AURORA AESTHETIC DENTISTRY
KDF,THE DENTAL HUB (BOON LAY)
KDG,NEUGen Dental
KDH,OncoCare Cancer Centre
KDI,Pacific Dental
KDJ,The Dental Gallery Dawson
KDK,Twinkle Dental (Tampines North) Pte Ltd
KDL,CROWN DENTAL SURGERY
KDM,Lifescan Medical Centre
KDN,SOONG CLINIC AND SURGERY
KDO,Acacia Medical Clinic
KDP,Kin Mun Clinic
KDQ,Phoenix Medical Group
KDR,Royal Care Medical Yishun Junction 9
KDS,THE OCCUPATIONAL AND DIVING MEDICINE CENTRE
KDT,Dr.W Family Clinic
KDU,WEN & WENG FAMILY CLINIC
KDV,LOH DENTAL SURGERY
KDW,ProHealth Medical Group @ Hougang Pte Ltd
KDX,SMG Vision Centre
KDY,T32 Dental Pearl At Clementi
KDZ,KING GEORGE'S MEDICAL CLINIC PTE LTD
KE0,ALDA DENTAL SURGERY
KE1,Ambulatory SurgiCare (ASC)
KE2,CASA DENTAL (HOLLAND)
KE3,CHARLES DENTAL SURGERY
KE4,dental @ UNI
KE5,DENTAL FOCUS PIONEER CLINIC
KE7,KIDNEYCARE DIALYSIS CENTRE @ YISHUN
KE8,N.K.CHEONG DENTAL CLINIC
KE9,PACIFIC ADVANCE RENAL CARE (TAMPINES)
KEA,SMG ENT CENTRE EAR NOSE THROAT FACE NECK
KEB,"Specialist Endocrine Clinic for Diabetes, Thyroid and Hormones"
KEC,SIMON DENTAL SURGERY
KEF,THE RHINOPLASTY CLINIC ENT FACIAL PLASTICS
KEG,The Skin Specialist
KEH,Twin City Perio-Endo Clinic Pte Ltd
KEK,EC Family Clinic
KEL,HEALTHWAY MEDICAL CLINIC
KEN,Toothsmith Dental Surgery
KEO,EAST COAST MEDICAL CENTRE
KEP,FEMA CLINIC & SURGERY
KEQ,Fresenius Medical Care Bukit Merah Central Dialysis Clinic
KER,MEDICO CLINIC & SURGERY
KES,Mission Cross Family Clinic
KET,Platinum Medical Centre pte ltd
KEU,SJ Clinic & Surgery
KEV,Wendy Women's Clinic
KEW,W P SIM FAMILY CLINIC & SURGERY
KEX,FRONTIER MEDICAL ASSOCIATES (AT ANG MO KIO AVE 4)
KEY,FRONTIER MEDICAL ASSOCIATES (AT BUANGKOK CRESCENT)
KEZ,LIFE FAMILY CLINIC
KF0,Lifescan Imaging
KF1,OneDoctors Family Clinic
KF2,AEGIS DIALYSIS CENTRE PTE LTD
KF3,Dental Suites @ Bedok
KF4,Dermatology Associates (Connexion)
KF5,GUTCARE DIGESTIVE â€¢ LIVER â€¢ ENDOSCOPY ASSOCIATES
KF6,My Eye Specialist & Retina Surgeon
KF7,Shuang Dentistry
KF9,WH Dental Surgeons
KFA,FRESENIUS MEDICAL CARE KHATIB DIALYSIS CLINIC
KFB,LIEW & KOH DENTAL SURGERY (YISHUN)
KFC,LIEW AND KOH DENTAL SURGERY (HOUGANG GREEN)
KFD,AA DENTAL SURGERY
KFE,Dr Alicia Eye Specialist
KFF,NF DentiSmile
KFH,Smile Doctor Dentalcare @ Punggol Waterway
KFI,WHITE CLOUD DENTAL
KFJ,Q & M Dental Surgery (Bishan)
KFK,The Radiant Eye Centre
KFL,Family Doctors at 365
KFM,Ang Mo Kio Family Medicine Clinic
KFN,Dawson Medical Clinic
KFO,Thomson Paediatric Centre
KFP,EAGLE EYE CENTRE
KFQ,EAGLE EYE CENTRE@ MOUNT ELIZABETH
KFR,Lian Clinic
KFS,RafflesMedical (Waterway Point)
KFT,Lighthouse Clinic And Surgery Pte. Ltd.
KFU,Sembawang Mart Medical Centre
KFV,Q & M Medical Clinic (Bukit Batok)
KFW,Shenton Medical Group
KFX,Shenton Medical Group
KFZ,HEALTHWAY DENTAL CLINIC
KG1,St. Andrew's Mission Hospital Clinic (Kampong Glam)
KG2,FRESENIUS MEDICAL CARE ANG MO KIO DIALYSIS CLINIC
KG3,FRESENIUS MEDICAL CARE ANG MO KIO DIALYSIS CLINIC
KG4,FRESENIUS MEDICAL CARE BEDOK NORTH DIALYSIS CLINIC
KG5,FRESENIUS MEDICAL CARE BEDOK RESERVOIR DIALYSIS CLINIC
KG6,FRESENIUS MEDICAL CARE BUKIT BATOK DIALYSIS CLINIC
KG7,FRESENIUS MEDICAL CARE BUKIT MERAH DIALYSIS CLINIC
KG8,FRESENIUS MEDICAL CARE HOUGANG DIALYSIS CLINIC
KG9,FRESENIUS MEDICAL CARE JURONG BOON LAY DIALYSIS CLINIC
KGA,FRESENIUS MEDICAL CARE JURONG EAST DIALYSIS CLINIC
KGB,FRESENIUS MEDICAL CARE JURONG EAST CENTRAL DIALYSIS CLINIC
KGC,FRESENIUS MEDICAL CARE JURONG WEST DIALYSIS CLINIC
KGD,FRESENIUS MEDICAL CARE LUCKY PLAZA DIALYSIS CLINIC
KGE,FRESENIUS MEDICAL CARE NAPIER DIALYSIS CLINIC
KGF,FRESENIUS MEDICAL CARE TANGLIN DIALYSIS CLINIC
KGG,FRESENIUS MEDICAL CARE TAMPINES DIALYSIS CLINIC
KGH,FRESENIUS MEDICAL CARE TOA PAYOH DIALYSIS CLINIC
KGI,FRESENIUS MEDICAL CARE YISHUN DIALYSIS CLINIC
KGJ,Dr D AESTHETICS MEDICAL CLINIC
KGK,Dr W.K. Koo & Associates P.L.
KGL,Duxton Medical Clinic
KGM,The Family Practice@ Skyville
KGN,Waheeda's Clinic & Surgery
KGO,Aptus Surgery Centre
KGP,Excelsior Dental Surgery Pte Ltd
KGQ,W GYNAE WOMEN'S CLINIC
KGR,"Drs Koo, Fok & Associates( Pioneer )"
KGS,SUNBEAM MEDICAL CLINIC
KGT,MINMED CLINIC (PUNGGOL)
KGU,Hand Surgery Associates (Alvernia)
KGV,Dr Gary's Family Clinic
KGW,PRISTINE DENTALWORKS FAMILY DENTAL CENTRE
KGX,HEALTHCONNEXION MEDICAL CLINIC
KGY,Holland Medical Clinic
KGZ,Minmed Health Screeners
KH0,SIA FAMILY CLINIC AND SURGERY
KH1,ACCESS MEDICAL (MARINE TERRACE)
KH2,Enhance Dental Centre
KH3,HEALTHMARK FAMILY CLINIC (WATERWAY)
KH4,Family Dental Surgery Pte Ltd
KH5,PARKWAY CANCER CENTRE
KH6,L&G Medical Clinic
KH7,Newport Dental
KH8,MEDINA MEDICAL CENTRE
KH9,Greenlife Dental Clinic(New Upper Changi Road)
KHA,Marina Bay Dental
KHB,Shenton Dental Group
KHC,CMY Medical
KHD,HO TONG CLINIC
KHE,Naaman Skin & Laser Centre
KHF,PROVIDENCE CLINIC @ BALESTIER
KHG,SHALOM MEDICAL GROUP
KHH,TEMASEK CLINIC & SURGERY
KHI,UNIHEALTH 24-HR CLINIC (TOA PAYOH)
KHJ,SATA CommHealth Ang Mo Kio Medical Centre
KHK,AUDREY & ALEXANDER CENTRE FOR GENERAL DENTISTRY
KHL,SYMMETRY DENTOFACIAL AESTHETICS
KHM,Peace Family Clinic (WL832)
KHN,Eastern Hougang Eye Specialist
KHO,Garden Dental
KHP,YSL BEDOK CLINIC & SURGERY
KHQ,B.Braun Dialysis Centre
KHR,Caring Dental Sengkang
KHS,Women & Fertility Clinic by Marianne
KHT,Onecare Clinic Tampines
KHU,Straits Dental Group (TS) Pte Ltd
KHV,SHENTON FAMILY MEDICAL CLINIC (TAMPINES)
KHW,SYNERGY DENTAL SPECIALISTS (fka Dental Focus Capitol Clinic)
KHX,Dental Focus People's Park Clinic
KHY,LIFESCAN IMAGING
KHZ,LIFESCAN IMAGING
KI1,Fresenius Medical Care Kovan Dialysis Clinic
KI2,Fresenius Medical Care Upper Serangoon Dialysis Clinic
KI3,Fresenius Medical Care Serangoon Dialysis Clinic
KI4,Fresenius Medical Care Whampoa Dialysis Clinic
KI5,Nihon Dental Centre
KI6,RafflesDental
KI7,RafflesDental
KI8,RafflesDental
KI9,RafflesMedical (Bukit Batok)
KIA,RafflesMedical
KIB,RafflesMedical (Holland V)
KIC,AMDA International Peace Clinic
KID,Astra Women's Specialist Centre
KIE,The Skin Specialists & Laser Clinic
KIF,Advanced Dental Clinic Whampoa Pte Ltd
KIG,GILEAD EAR NOSE & THROAT CENTRE
KIH,Dr. Tan & Partners @ Katong
KII,Onecare Clinic Tiong Bahru
KIJ,PIONEER FAMILY HEALTHCARE CENTRE
KIK,RafflesMedical (Harbourfront centre)
KIL,Thomson Paediatric Centre
KIM,BISHAN GRACE CLINIC
KIN,THE OLIVE TREE FAMILY CLINIC & SURGERY PTE. LTD.
KIO,G.DENTAL @ CLEMENTI
KIP,advanced dental clinic east coast pte ltd
KIQ,"ABEL SOH DIABETES, THYROID AND ENDOCRINE CLINIC"
KIR,EHA clinic @ Toa Payoh
KIS,Vascular & Interventional Centre
KIT,AE Medical Clinic
KIV,UNITY DENTICARE
KIW,Kong Clinic for Chest & Internal Medicine
KIX,ISLAND FAMILY CLINIC (FERNVALE)
KIY,The Respiratory Practice Lung Â· Asthma Â· Cough Â· Allergy
KIZ,The Respiratory Practice Lung Â· Asthma Â· Cough Â· Allergy
KJ0,EDGEDALE MEDICAL CLINIC
KJ1,Nyam Family Clinic
KJ2,CECILIA FAMILY CLINIC & SURGERY
KJ3,Aura Dental Clinic
KJ4,ANG MO KIO 10 DENTAL
KJ5,NF DentiSmile @ MarinaSq
KJ6,RafflesMedical
KJ9,Kong Dental Surgery
KJA,POLYGEMS (PG) DENTAL CARE PTE. LTD.
KJB,ISLAND GROUP DENTAL SURGERY
KJC,SHANG DENTAL
KJD,The Dental Gallery Choa Chu Kang
KJE,TRIPOD DENTAL CLINIC (CIRCUIT ROAD)
KJF,SENNETT MEDICAL CLINIC
KJG,Nuffield Dental Seletar
KJH,Dental Designs Clinic
KJI,Mission (Bukit Batok) Medical Clinic
KJJ,SBCC BABY & CHILD CLINIC
KJK,JOY CLINIC AND SURGERY
KJL,Drs Chua & Partners (AV) Pte Ltd
KJM,M Dental (Pasir Ris) Pte Ltd
KJN,LUMINOUS DENTAL CLINIC @ HOUGANG
KJO,ML've Medical Diagnostic Suite
KJP,NANYANG DENTIST
KJQ,The Clinic @ Capitagreen
KJR,Q & M Dental Surgery (Hougang)
KJS,ONE SURGICAL CLINIC & SURGERY
KJT,PARKWAY SHENTON MEDICAL GROUP
KJU,UNITY FAMILY MEDICINE CLINIC
KJV,RenalTeam Dialysis Centre Yishun
KJW,Mount Alvernia Outreach Medical Clinic
KJY,Minmed Clinic (Jurong East)
KJZ,Minmed Clinic (Sengkang)
KK0,The ENT Specialist Centre
KK1,plushealth Medical Clinic & Surgery
KK2,NIGHTINGALE MEDICAL GROUP
KK3,APICARE PAIN CLINIC
KK4,EON MEDICAL CLINIC
KK5,ISLAND FAMILY CLINIC (KEAT HONG)
KK6,SOG - SK LIM BREAST & GENERAL SURGICARE
KK8,VIVIEN @ ROBINSON.PRACTICE
KK9,Ho Dental Surgery
KKA,Lynne Lim Ear Nose Throat and Hearing Centre (Child & Adult)
KKB,SMILE CENTRAL CLINIC (At Aljunied Ave 2 #01-80/84)
KKC,LQ DENTAL
KKD,Dr. Tan & Partners
KKE,ADVANCED DENTAL CLINIC BUKIT PANJANG PTE LTD
KKF,AELITE IMPLANT AND DENTAL CENTER
KKG,HEALTHWAY MEDICAL CLINIC
KKH,TLC DENTAL CENTRE
KKI,LUMINOUS DENTAL CLINIC @ 201D TAMPINES
KKJ,Premier Dental Care
KKK,RafflesDental
KKL,ACCESS MEDICAL (KIM KEAT)
KKM,ACCESS MEDICAL (TOA PAYOH)
KKN,TEMASEK MEDICAL CENTRE
KKO,TEMASEK MEDICAL CENTRE
KKP,TEMASEK MEDICAL CENTRE
KKQ,TEMASEK MEDICAL CENTRE
KKR,SPRING HOPE ORTHOPAEDIC SPINE SURGERY
KKS,STANLEY EAR NOSE THROAT AND SINUS CENTRE
KKT,Tai Dental Surgery (Chai Chee) Pte. Ltd.
KKU,L20 DAY SURGERY
KKV,RafflesMedical
KKW,RafflesMedical (Changi Airport Terminal 3)
KKX,DAYSPRING MEDICAL CLINIC
KKY,PACIFIC ADVANCE RENAL CARE (FAJAR)
KKZ,Tanglin MRI Diagnostics
KL0,Lakeside Family Medicine Clinic
KL1,Trinity Medical Clinic (AT jURONG GATEWAY)
KL3,FAJAR FAMILY CLINIC & SURGERY
KL4,Healthcare Hougang Medical Clinic
KL5,NICHII INTERNATIONAL CLINIC
KL6,Onecare Clinic Choa Chu Kang
KL7,Onecare Clinic Marine Parade
KL8,OC Medical Raffles Place
KL9,SINGAPORE AEROMEDICAL CENTRE
KLA,The Obstetrics & Gynaecology Centre
KLB,TPC Medical Clinic
KLC,SHALOM CLINC & SURGERY
KLD,Aesthetic & Reconstructive Centre
KLE,JOY LEE BREAST AND GENERAL SURGERY
KLF,"K K CHEW EAR, NOSE & THROAT SURGERY"
KLG,Acumed Medical Group (At JTC Biomed @ Tuas Biomedical Park)
KLH,JIREH FAMILY CLINIC
KLI,Katong Family Clinic Pte Ltd
KLJ,NOUR!SH DENTAL CARE & IMPLANTS
KLK,Okio Dental Centre
KLL,UNITED DENTAL SURGERY
KLM,WELLNESS DENTAL STUDIO
KLN,White & Co. Dental Care
KLO,WINSTON OMP ADVANCED DENTAL IMPLANTOLOGY
KLP,ASSURANCE MEDICARE CLINIC AND SURGERY
KLQ,LIFE FAMILY CLINIC
KLR,MEI LING CLINIC
KLS,NUFFIELD MEDICAL SIGLAP
KLT,Greenlife Dental Clinic (Toa Payoh)
KLU,GREENLIFE DENTAL CLINIC (Clementi Ave 3)
KLV,Greenlife Dental Clinic (Yew Tee Square)
KLW,Jurong Point Dental Surgery
KLX,HEAL DENTAL CLINIC
KM0,Beacon Ear Nose Throat Snoring Centre
KM1,KOH DENTAL SURGERY PTE LTD
KM2,Leong & Tan Clinic & Surgery
KM3,"Seed of Life, Fertility & Women's Care Medical Centre"
KM4,RenalTeam Dialysis Centre Woodlands Peak
KM5,Azure Dental
KM6,London Dental Care
KM7,TAI DENTAL SURGERY (Ang Mo Kio) PTE. LTD.
KM8,W DENTAL
KM9,"HUA MEI CLINIC, WHAMPOA"
KMA,RafflesMedical (Tampines Hub)
KMB,ECON ADVANCE RENAL CARE (YUNG KUANG)
KMD,DENTAL FOCUS JUNCTION 10 CLINIC
KME,LEE Dental Surgery
KMF,LUMINOUS DENTAL CLINIC @ TAMPINES PLAZA
KMG,RafflesDental
KMH,DAYSPRING MEDICAL CLINIC (PASIR RIS)
KMI,FAITH CLINIC (BEDOK)
KMJ,FAITH HEALTHCARE (RIVERVALE)
KMK,FRESENIUS MEDICAL CARE MARSILING DIALYSIS CLINIC
KML,FRESENIUS MEDICAL CARE YISHUN RING DIALYSIS CLINIC
KMM,International Cancer Specialists
KMN,LEE WOMEN'S CLINIC & SURGERY
KMP,Tay Clinic
KMQ,The Respiratory Practice Lung Â· Asthma Â· Cough Â· Allergy
KMR,VISTA MEDICAL CENTRE
KMS,Asian American Liver Centre
KMT,Esther Chuwa BreastCare Practice
KMU,West Point Hospital
KMW,VICTORIA DENTALCARE (RIVERVALE)
KMX,VISTA DENTAL SURGERY
KMY,VISTA DENTAL SURGERY
KMZ,VISTA DENTAL SURGERY
KN0,Vitacare Family Clinic@Punggol West Pte Ltd
KN2,The Clinic @ Business City
KN3,B9 DENTAL CENTRE (MARSILING)
KN4,Cheng SC Vein and Endovascular Clinic
KN5,Gentle Dental Centre for Aesthetics and Implantology Pte Ltd
KN6,GENTLE DENTAL GROUP @ TANJONG KATONG PTE. LTD.
KN7,Greenlife Dental Clinic (Ang Mo Kio)
KN8,ASTRA WOMEN'S SPECIALIST CLINIC
KN9,banyan clinic @ jw
KNA,BOON LAY CORPORATION CLINIC PTE LTD
KNB,FAMILY HEALTHCARE CLINIC & SURGERY PTE LTD
KNC,YSL ALJUNIED CLINIC & SURGERY
KNE,KINGSLEY CLINIC
KNF,FAITH HEALTHCARE (TAMPINES)
KNG,NORTHEAST MEDICAL GROUP
KNH,K C CHING CLINIC & SURGERY FOR WOMEN PTE LTD
KNI,LAI ENDOSCOPY & COLORECTAL SURGERY
KNJ,LUMINOUS DENTAL CLINIC @ 25A CHAI CHEE
KNK,LUMINOUS DENTAL CLINIC @ PASIR RIS
KNL,PARAGON DENTAL CENTRE
KNM,TAL Dialysis @ Clementi
KNN,LIVEWELL MEDICAL FAMILY CLINIC
KNO,LOI+WONG CLINIC & SURGERY
KNP,SOG-SC HONG CLINIC FOR WOMEN
KNQ,NEWEST MEDICAL AND LASER CLINIC PTE LTD
KNR,Yarra Medical Clinic
KNS,The Smile Division Dental Group@Yishun
KNT,KEAT HONG FAMILY MEDICINE CLINIC
KNU,OncoCare Women's Cancer Clinic
KNV,BALESTIER DENTAL SURGERY
KNW,KINGSLEY FAMILY CLINIC
KNY,Mindchamps Medical Clinic
KNZ,MY ENT SPECIALIST
KO0,PANHEALTH FAMILY CLINIC (HOUGANG)
KO1,RAFFLESMEDICAL (Hillion Mall)
KO2,SBCC BABY & CHILD CLINIC
KO3,SATA CommHealth Tampines Medical Centre
KO4,SUNBEAM MEDICAL CLINIC
KO5,KIDNEYCARE DIALYSIS CENTRE @ WEST COAST
KO6,PACIFIC ADVANCE RENAL CARE (CHOA CHU KANG)
KO7,ENT Surgeons Medical Centre
KO8,ICON SOC FARRER PARK MEDICAL CLINIC
KO9,ICON SOC GLENEAGLES MEDICAL CLINIC
KOA,ICON SOC MOUNT ALVERNIA MEDICAL CLINIC
KOB,ICON SOC MOUNT ELIZABETH MEDICAL CLINIC
KOC,GREENLIFE CLINIC & SURGERY
KOD,The Family Practice @Keppel
KOE,HealthQuay Medical
KOF,Ang Mo Kio - Thye Hua Kwan Hospital Dialysis Centre
KOG,MEDILINE WEI MIN CLINIC
KOH,Medi Healthcare Clinic (Punggol)
KOI,W DENTAL
KOJ,STAT MEDICAL CLINIC
KOK,Trucare Medical And Surgery
KOL,TEETH. Q DENTAL SURGEONS @ MATILDA PORTICO
KOM,Kensington Square Medical Clinic And Surgery
KON,AR-Raudhah Medical Clinic and Surgery Pte Ltd
KOP,Q & M Dental Surgery (Punggol MRT)
KOQ,Dr. Tan & Partners @ Scotts
KOR,VICTORIA DENTALCARE (HOUGANG CAPEVIEW)
KOS,VICTORIA DENTALCARE (PUNGGOL)
KOT,VICTORIA DENTALCARE (MARINE PARADE)
KOU,VICTORIA DENTALCARE (RIVERVALE)
KOV,DENTALWORKZ STUDIO
KOX,AMITY MEDICAL CLINIC & DENTAL SURGERY
KOZ,E Medical Clinic & Surgery
KP0,Pacific Medical Clinic
KP1,Pacific Medical Clinic
KP2,The Chong Family Clinic Pte Ltd
KP3,MEDICAL AESTHETICS
KP4,MEDICAL AESTHETICS
KP5,Onecare Clinic Loyang
KP6,Sembawang X-Ray Centre
KP8,UNIHEALTH 24-HR CLINIC (ANG MO KIO)
KP9,Ocean Dental
KPA,Rochor Centre Dental Surgery
KPB,THE DENTAL IMPLANT CENTRE
KPC,YIP DENTAL SURGERY PTE LTD
KPD,ALLURE PLASTIC SURGERY
KPE,Shens Reconstructive Surgery Centre
KPF,Aaron Dentalcare@ Holland V.
KPG,ANGELSMILE DENTAL CENTRE
KPH,Advanced Dental Clinic Sengkang
KPI,HEALTHWAY DENTAL CLINIC
KPJ,POLYGEMS DENTAL CARE (YISHUN)
KPK,Popular Dental (Serangoon Central)
KPL,Q & M Dental Centre (Jurong East Central)
KPM,Q & M Dental Surgery (Yew Tee)
KPN,The Dental Lodge Sembawang
KPO,MANHATTAN MEDICAL CENTRE
KPP,TEBAN GARDEN CLINIC
KPQ,Pacific Healthcare Specialist Centre (#12-01)
KPR,Pacific Healthcare Specialist Centre (#12-01)
KPT,Teehee Dental Works
KPV,ML've HealthCare (Novena)
KPX,VASCULAR & INTERVENTIONAL CENTRE
KPY,B9 DENTAL CENTRE (Tanjong Pagar)
KQ0,ECON ADVANCE RENAL CARE (BEDOK)
KQ1,GreenForest Family Clinic
KQ2,INTERNATIONAL PLAZA DENTAL SURGEONS
KQ3,Asia HealthPartners
KQ4,Asia HealthPartners Pte Ltd (Imaging)
KQ5,Astra Women's Specialist Centre
KQ6,DRS TANG & PARTNERS PTE. LTD.
KQ7,TOWN CLINIC
KQ8,Harmony Dental Surgery
KQ9,Royce Dental Surgery
KQB,ATLAS PACIFIC MEDICAL
KQC,Canberra Care Medical Clinic
KQD,Mediway Medical Centre
KQE,Q & M MUTUAL HEALTHCARE MEDICAL CLINIC
KQG,Physicians Practice Family Medical Center
KQH,Sengkang Family Clinic
KQI,AcuMed Medical Group (At Blk 215C Compassvale Drive)
KQJ,ROYAL CARE MEDICAL FAMILY CLINIC CHOA CHU KANG
KQK,THE DERMATOLOGY PRACTICE SKIN.HAIR.ALLERGY.LASER @GLENEAGLES
KQL,HC ENDOSCOPY & PILES CENTRE (HILLFORD)
KQM,HC ENDOSCOPY & PILES CENTRE (GM)
KQN,Access Medical (Jurong West)
KQO,TLC Lifestyle Practice
KQP,G Dental Center
KQQ,SMILEWORKS @ MIRAGE PTE. LTD.
KQR,CLEMENTI DENTAL CENTRE
KQS,RafflesDental
KQT,Farrer Park Imaging
KQU,GOH CLINIC & SURGERY
KQV,LONDON (MH) CLINIC & SURGERY
KQW,PRISTINE DENTALWORKS
KR0,AICARE FAMILY CLINIC
KR1,CARE4LIFE MEDICAL CLINIC (YISHUN)
KR2,DOCTORS FOR LIFE MEDICAL
KR3,Mind Care Clinic
KR4,Access Medical (Bukit Batok)
KR5,My Family Clinic (Angsana Breeze @ Yishun)
KR7,PINNACLE FAMILY CLINIC (COMPASSVALE)
KR8,Tampines Family Medicine Clinic
KR9,"LIM EAR, NOSE & THROAT SURGERY"
KRA,THE GP ENDOSCOPY & PILES CENTRE (DLEEDON)
KRB,TOWN HALL DENTAL SURGERY (TAMPINES)
KRC,TANGLIN DENTAL @ YISHUN
