ICD_Code,Description,Critical_Illness_Classification
I70409,"Unspecified atherosclerosis of autologous vein bypass graft(s) of the extremities, unspecified",CORONARY_ARTERY_BYPASS_SURGERY
I70438,Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of other part of,CORONARY_ARTERY_BYPASS_SURGERY
I70439,Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of unspecified,CORONARY_ARTERY_BYPASS_SURGERY
I70441,Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of thigh,CORONARY_ARTERY_BYPASS_SURGERY
I70442,Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of calf,CORONARY_ARTERY_BYPASS_SURGERY
I70443,Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of ankle,CORONARY_ARTERY_BYPASS_SURGERY
I70444,Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of heel and,NONE
I70445,Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of other part of,NONE
I70448,Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of other part of,CORONARY_ARTERY_BYPASS_SURGERY
I70449,Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of unspecified,NONE
I70461,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, right leg",NONE
I70462,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, left leg",CORONARY_ARTERY_BYPASS_SURGERY
I70463,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, bilateral",HEART_ATTACK
I70468,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, other",HEART_ATTACK
I70491,"Other atherosclerosis of autologous vein bypass graft(s) of the extremities, right leg",CORONARY_ARTERY_BYPASS_SURGERY
I70492,"Other atherosclerosis of autologous vein bypass graft(s) of the extremities, left leg",CORONARY_ARTERY_BYPASS_SURGERY
I70493,"Other atherosclerosis of autologous vein bypass graft(s) of the extremities, bilateral legs",CORONARY_ARTERY_BYPASS_SURGERY
I70499,"Other atherosclerosis of autologous vein bypass graft(s) of the extremities, unspecified",CORONARY_ARTERY_BYPASS_SURGERY
I70498,"Other atherosclerosis of autologous vein bypass graft(s) of the extremities, other extremity",CORONARY_ARTERY_BYPASS_SURGERY
I70501,"Unspecified atherosclerosis of nonautologous biological bypass graft(s) of the extremities, right",CORONARY_ARTERY_BYPASS_SURGERY
I70469,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, unspecified",CORONARY_ARTERY_BYPASS_SURGERY
I70502,"Unspecified atherosclerosis of nonautologous biological bypass graft(s) of the extremities, left",CORONARY_ARTERY_BYPASS_SURGERY
I70508,"Unspecified atherosclerosis of nonautologous biological bypass graft(s) of the extremities, other",CORONARY_ARTERY_BYPASS_SURGERY
I70511,Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with intermittent,CORONARY_ARTERY_BYPASS_SURGERY
I70512,Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with intermittent,CORONARY_ARTERY_BYPASS_SURGERY
I70513,Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with intermittent,CORONARY_ARTERY_BYPASS_SURGERY
I70519,Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with intermittent,CORONARY_ARTERY_BYPASS_SURGERY
I70521,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with rest pain,",CORONARY_ARTERY_BYPASS_SURGERY
I70523,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with rest pain,",CORONARY_ARTERY_BYPASS_SURGERY
I70528,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with rest pain,",NONE
I70529,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with rest pain,",CORONARY_ARTERY_BYPASS_SURGERY
I70531,Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of,CORONARY_ARTERY_BYPASS_SURGERY
I70533,Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of,CORONARY_ARTERY_BYPASS_SURGERY
I70534,Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of,CORONARY_ARTERY_BYPASS_SURGERY
I70532,Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of calf,CORONARY_ARTERY_BYPASS_SURGERY
I70522,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with rest pain, left",CORONARY_ARTERY_BYPASS_SURGERY
I70503,"Unspecified atherosclerosis of nonautologous biological bypass graft(s) of the extremities,",NONE
I70509,"Unspecified atherosclerosis of nonautologous biological bypass graft(s) of the extremities,",CORONARY_ARTERY_BYPASS_SURGERY
I70535,Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of,CORONARY_ARTERY_BYPASS_SURGERY
I70541,Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of thigh,SURGERY_TO_THE_AORTA
I70542,Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of calf,CORONARY_ARTERY_BYPASS_SURGERY
I70544,Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of heel,CORONARY_ARTERY_BYPASS_SURGERY
I70543,Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of,CORONARY_ARTERY_BYPASS_SURGERY
I70545,Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of,CORONARY_ARTERY_BYPASS_SURGERY
I70548,Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of,CORONARY_ARTERY_BYPASS_SURGERY
I70549,Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of,CORONARY_ARTERY_BYPASS_SURGERY
I7055,Atherosclerosis of nonautologous biological bypass graft(s) of other extremity with ulceration,CORONARY_ARTERY_BYPASS_SURGERY
I70561,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with gangrene,",CORONARY_ARTERY_BYPASS_SURGERY
I70563,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with gangrene,",NONE
I70568,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with gangrene,",CORONARY_ARTERY_BYPASS_SURGERY
I70569,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with gangrene,",CORONARY_ARTERY_BYPASS_SURGERY
I70592,"Other atherosclerosis of nonautologous biological bypass graft(s) of the extremities, left leg",CORONARY_ARTERY_BYPASS_SURGERY
I70593,"Other atherosclerosis of nonautologous biological bypass graft(s) of the extremities, bilateral",HEART_ATTACK
I70562,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with gangrene, left",CORONARY_ARTERY_BYPASS_SURGERY
I70598,"Other atherosclerosis of nonautologous biological bypass graft(s) of the extremities, other",CORONARY_ARTERY_BYPASS_SURGERY
I70601,"Unspecified atherosclerosis of nonbiological bypass graft(s) of the extremities, right leg",CORONARY_ARTERY_BYPASS_SURGERY
I70602,"Unspecified atherosclerosis of nonbiological bypass graft(s) of the extremities, left leg",CORONARY_ARTERY_BYPASS_SURGERY
I70603,"Unspecified atherosclerosis of nonbiological bypass graft(s) of the extremities, bilateral legs",CORONARY_ARTERY_BYPASS_SURGERY
I70609,"Unspecified atherosclerosis of nonbiological bypass graft(s) of the extremities, unspecified",CORONARY_ARTERY_BYPASS_SURGERY
I70608,"Unspecified atherosclerosis of nonbiological bypass graft(s) of the extremities, other extremity",CORONARY_ARTERY_BYPASS_SURGERY
I70611,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with intermittent claudication,",CORONARY_ARTERY_BYPASS_SURGERY
I70612,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with intermittent claudication,",CORONARY_ARTERY_BYPASS_SURGERY
I70613,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with intermittent claudication,",CORONARY_ARTERY_BYPASS_SURGERY
I70618,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with intermittent claudication,",CORONARY_ARTERY_BYPASS_SURGERY
I70619,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with intermittent claudication,",CORONARY_ARTERY_BYPASS_SURGERY
I70621,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with rest pain, right leg",CORONARY_ARTERY_BYPASS_SURGERY
I70622,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with rest pain, left leg",CORONARY_ARTERY_BYPASS_SURGERY
I70629,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with rest pain, unspecified",CORONARY_ARTERY_BYPASS_SURGERY
I70631,Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of thigh,NONE
I70633,Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of ankle,NONE
I70634,Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of heel and,HEART_ATTACK
I70635,Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of other part of,CORONARY_ARTERY_BYPASS_SURGERY
I70628,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with rest pain, other extremity",CORONARY_ARTERY_BYPASS_SURGERY
I70599,"Other atherosclerosis of nonautologous biological bypass graft(s) of the extremities, unspecified",CORONARY_ARTERY_BYPASS_SURGERY
I70638,Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of other part of,CORONARY_ARTERY_BYPASS_SURGERY
I70639,Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of unspecified,CORONARY_ARTERY_BYPASS_SURGERY
I70641,Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of thigh,CORONARY_ARTERY_BYPASS_SURGERY
I70642,Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of calf,CORONARY_ARTERY_BYPASS_SURGERY
I70643,Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of ankle,NONE
I70644,Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of heel and,NONE
I70645,Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of other part of,CORONARY_ARTERY_BYPASS_SURGERY
I70648,Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of other part of,CORONARY_ARTERY_BYPASS_SURGERY
I70649,Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of unspecified site,CORONARY_ARTERY_BYPASS_SURGERY
I70661,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with gangrene, right leg",CORONARY_ARTERY_BYPASS_SURGERY
I70662,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with gangrene, left leg",CORONARY_ARTERY_BYPASS_SURGERY
I70668,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with gangrene, other",CORONARY_ARTERY_BYPASS_SURGERY
I70691,"Other atherosclerosis of nonbiological bypass graft(s) of the extremities, right leg",NONE
I70692,"Other atherosclerosis of nonbiological bypass graft(s) of the extremities, left leg",CORONARY_ARTERY_BYPASS_SURGERY
I70693,"Other atherosclerosis of nonbiological bypass graft(s) of the extremities, bilateral legs",CORONARY_ARTERY_BYPASS_SURGERY
I70698,"Other atherosclerosis of nonbiological bypass graft(s) of the extremities, other extremity",NONE
I70701,"Unspecified atherosclerosis of other type of bypass graft(s) of the extremities, right leg",NONE
I70702,"Unspecified atherosclerosis of other type of bypass graft(s) of the extremities, left leg",CORONARY_ARTERY_BYPASS_SURGERY
I70703,"Unspecified atherosclerosis of other type of bypass graft(s) of the extremities, bilateral legs",CORONARY_ARTERY_BYPASS_SURGERY
I70708,"Unspecified atherosclerosis of other type of bypass graft(s) of the extremities, other extremity",CORONARY_ARTERY_BYPASS_SURGERY
I70699,"Other atherosclerosis of nonbiological bypass graft(s) of the extremities, unspecified extremity",CORONARY_ARTERY_BYPASS_SURGERY
I70663,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with gangrene, bilateral legs",HEART_ATTACK
I70669,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with gangrene, unspecified",CORONARY_ARTERY_BYPASS_SURGERY
I70709,"Unspecified atherosclerosis of other type of bypass graft(s) of the extremities, unspecified",CORONARY_ARTERY_BYPASS_SURGERY
I70711,"Atherosclerosis of other type of bypass graft(s) of the extremities with intermittent claudication,",CORONARY_ARTERY_BYPASS_SURGERY
I70712,"Atherosclerosis of other type of bypass graft(s) of the extremities with intermittent claudication,",CORONARY_ARTERY_BYPASS_SURGERY
I70713,"Atherosclerosis of other type of bypass graft(s) of the extremities with intermittent claudication,",HEART_ATTACK
I70718,"Atherosclerosis of other type of bypass graft(s) of the extremities with intermittent claudication,",NONE
I70719,"Atherosclerosis of other type of bypass graft(s) of the extremities with intermittent claudication,",CORONARY_ARTERY_BYPASS_SURGERY
I70721,"Atherosclerosis of other type of bypass graft(s) of the extremities with rest pain, right leg",CORONARY_ARTERY_BYPASS_SURGERY
I70722,"Atherosclerosis of other type of bypass graft(s) of the extremities with rest pain, left leg",CORONARY_ARTERY_BYPASS_SURGERY
I70723,"Atherosclerosis of other type of bypass graft(s) of the extremities with rest pain, bilateral legs",CORONARY_ARTERY_BYPASS_SURGERY
I70729,"Atherosclerosis of other type of bypass graft(s) of the extremities with rest pain, unspecified",CORONARY_ARTERY_BYPASS_SURGERY
I70731,Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of thigh,CORONARY_ARTERY_BYPASS_SURGERY
I70732,Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of calf,CORONARY_ARTERY_BYPASS_SURGERY
I70733,Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of ankle,CORONARY_ARTERY_BYPASS_SURGERY
I70734,Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of heel and,CORONARY_ARTERY_BYPASS_SURGERY
I70735,Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of other part of,CORONARY_ARTERY_BYPASS_SURGERY
I70738,Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of other part of,CORONARY_ARTERY_BYPASS_SURGERY
I70739,Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of unspecified site,CORONARY_ARTERY_BYPASS_SURGERY
I70741,Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of thigh,CORONARY_ARTERY_BYPASS_SURGERY
I70742,Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of calf,HEART_ATTACK
I70743,Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of ankle,CORONARY_ARTERY_BYPASS_SURGERY
I70744,Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of heel and,CORONARY_ARTERY_BYPASS_SURGERY
I70728,"Atherosclerosis of other type of bypass graft(s) of the extremities with rest pain, other extremity",CORONARY_ARTERY_BYPASS_SURGERY
I70745,Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of other part of,CORONARY_ARTERY_BYPASS_SURGERY
I70748,Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of other part of,HEART_ATTACK
I70761,"Atherosclerosis of other type of bypass graft(s) of the extremities with gangrene, right leg",CORONARY_ARTERY_BYPASS_SURGERY
I70762,"Atherosclerosis of other type of bypass graft(s) of the extremities with gangrene, left leg",CORONARY_ARTERY_BYPASS_SURGERY
I70768,"Atherosclerosis of other type of bypass graft(s) of the extremities with gangrene, other",SURGERY_TO_THE_AORTA
I70792,"Other atherosclerosis of other type of bypass graft(s) of the extremities, left leg",CORONARY_ARTERY_BYPASS_SURGERY
I70793,"Other atherosclerosis of other type of bypass graft(s) of the extremities, bilateral legs",CORONARY_ARTERY_BYPASS_SURGERY
I70798,"Other atherosclerosis of other type of bypass graft(s) of the extremities, other extremity",CORONARY_ARTERY_BYPASS_SURGERY
I70799,"Other atherosclerosis of other type of bypass graft(s) of the extremities, unspecified extremity",NONE
I70763,"Atherosclerosis of other type of bypass graft(s) of the extremities with gangrene, bilateral legs",CORONARY_ARTERY_BYPASS_SURGERY
I70769,"Atherosclerosis of other type of bypass graft(s) of the extremities with gangrene, unspecified",CORONARY_ARTERY_BYPASS_SURGERY
I7075,Atherosclerosis of other type of bypass graft(s) of other extremity with ulceration,CORONARY_ARTERY_BYPASS_SURGERY
I708,Atherosclerosis of other arteries,NONE
I7090,Unspecified atherosclerosis,NONE
I7091,Generalized atherosclerosis,NONE
I7101,Dissection of thoracic aorta,SURGERY_TO_THE_AORTA
I7102,Dissection of abdominal aorta,NONE
I7100,Dissection of unspecified site of aorta,SURGERY_TO_THE_AORTA
I7103,Dissection of thoracoabdominal aorta,SURGERY_TO_THE_AORTA
I712,"Thoracic aortic aneurysm, without rupture",SURGERY_TO_THE_AORTA
I714,"Abdominal aortic aneurysm, without rupture",NONE
I711,"Thoracic aortic aneurysm, ruptured",NONE
I713,"Abdominal aortic aneurysm, ruptured",COMA
I7092,Chronic total occlusion of artery of the extremities,NONE
I715,"Thoracoabdominal aortic aneurysm, ruptured",SURGERY_TO_THE_AORTA
I718,"Aortic aneurysm of unspecified site, ruptured",NONE
I721,Aneurysm of artery of upper extremity,STROKE
I724,Aneurysm of artery of lower extremity,NONE
I725,Aneurysm of other precerebral arteries,NONE
I728,Aneurysm of other specified arteries,NONE
I7300,Raynaud's syndrome without gangrene,NONE
I731,Thromboangiitis obliterans [Buerger's disease],NONE
I7389,Other specified peripheral vascular diseases,NONE
I7411,Embolism and thrombosis of thoracic aorta,NONE
I745,Embolism and thrombosis of iliac artery,NONE
I748,Embolism and thrombosis of other arteries,HEART_ATTACK
I7419,Embolism and thrombosis of other parts of aorta,NONE
I7409,Other arterial embolism and thrombosis of abdominal aorta,NONE
I742,Embolism and thrombosis of arteries of the upper extremities,NONE
I743,Embolism and thrombosis of arteries of the lower extremities,NONE
I744,"Embolism and thrombosis of arteries of extremities, unspecified",NONE
I7410,Embolism and thrombosis of unspecified parts of aorta,NONE
I739,"Peripheral vascular disease, unspecified",NONE
I7401,Saddle embolus of abdominal aorta,NONE
I7301,Raynaud's syndrome with gangrene,NONE
I720,Aneurysm of carotid artery,STROKE
I722,Aneurysm of renal artery,NONE
I723,Aneurysm of iliac artery,NONE
I726,Aneurysm of vertebral artery,NONE
I729,Aneurysm of unspecified site,NONE
I7381,Erythromelalgia,NONE
I716,"Thoracoabdominal aortic aneurysm, without rupture",NONE
I719,"Aortic aneurysm of unspecified site, without rupture",SURGERY_TO_THE_AORTA
I749,Embolism and thrombosis of unspecified artery,NONE
I75013,Atheroembolism of bilateral upper extremities,NONE
I75019,Atheroembolism of unspecified upper extremity,NONE
I75023,Atheroembolism of bilateral lower extremities,NONE
I75029,Atheroembolism of unspecified lower extremity,NONE
I75011,Atheroembolism of right upper extremity,NONE
I75012,Atheroembolism of left upper extremity,NONE
I75021,Atheroembolism of right lower extremity,NONE
I75022,Atheroembolism of left lower extremity,NONE
I7581,Atheroembolism of kidney,NONE
I76,Septic arterial embolism,NONE
I771,Stricture of artery,SURGERY_TO_THE_AORTA
I772,Rupture of artery,HEART_ATTACK
I775,Necrosis of artery,NONE
I776,"Arteritis, unspecified",NONE
I7589,Atheroembolism of other site,NONE
I770,"Arteriovenous fistula, acquired",NONE
I773,Arterial fibromuscular dysplasia,NONE
I7770,Dissection of unspecified artery,NONE
I7771,Dissection of carotid artery,NONE
I7772,Dissection of iliac artery,NONE
I7773,Dissection of renal artery,KIDNEY_FAILURE
I7774,Dissection of vertebral artery,NONE
I7775,Dissection of other precerebral arteries,STROKE
I7776,Dissection of artery of upper extremity,NONE
I7777,Dissection of artery of lower extremity,NONE
I7779,Dissection of other specified artery,NONE
I77810,Thoracic aortic ectasia,NONE
I774,Celiac artery compression syndrome,HEART_ATTACK
I77811,Abdominal aortic ectasia,NONE
I781,"Nevus, non-neoplastic",NONE
I788,Other diseases of capillaries,NONE
I789,"Disease of capillaries, unspecified",NONE
I791,Aortitis in diseases classified elsewhere,NONE
I77812,Thoracoabdominal aortic ectasia,SURGERY_TO_THE_AORTA
I7789,Other specified disorders of arteries and arterioles,NONE
I790,Aneurysm of aorta in diseases classified elsewhere,SURGERY_TO_THE_AORTA
I798,"Other disorders of arteries, arterioles and capillaries in diseases classified elsewhere",NONE
I8000,Phlebitis and thrombophlebitis of superficial vessels of unspecified lower extremity,NONE
I8003,"Phlebitis and thrombophlebitis of superficial vessels of lower extremities, bilateral",NONE
I80201,Phlebitis and thrombophlebitis of unspecified deep vessels of right lower extremity,NONE
I80202,Phlebitis and thrombophlebitis of unspecified deep vessels of left lower extremity,BLINDNESS
I80203,"Phlebitis and thrombophlebitis of unspecified deep vessels of lower extremities, bilateral",NONE
I80209,Phlebitis and thrombophlebitis of unspecified deep vessels of unspecified lower extremity,NONE
I8001,Phlebitis and thrombophlebitis of superficial vessels of right lower extremity,NONE
I8002,Phlebitis and thrombophlebitis of superficial vessels of left lower extremity,NONE
I8010,Phlebitis and thrombophlebitis of unspecified femoral vein,NONE
I8011,Phlebitis and thrombophlebitis of right femoral vein,NONE
I8012,Phlebitis and thrombophlebitis of left femoral vein,NONE
I80211,Phlebitis and thrombophlebitis of right iliac vein,NONE
I80212,Phlebitis and thrombophlebitis of left iliac vein,NONE
I80213,"Phlebitis and thrombophlebitis of iliac vein, bilateral",NONE
I80219,Phlebitis and thrombophlebitis of unspecified iliac vein,NONE
I80221,Phlebitis and thrombophlebitis of right popliteal vein,NONE
I8013,"Phlebitis and thrombophlebitis of femoral vein, bilateral",NONE
I779,"Disorder of arteries and arterioles, unspecified",NONE
I780,Hereditary hemorrhagic telangiectasia,NONE
I77819,"Aortic ectasia, unspecified site",NONE
I80222,Phlebitis and thrombophlebitis of left popliteal vein,NONE
I80231,Phlebitis and thrombophlebitis of right tibial vein,NONE
I80232,Phlebitis and thrombophlebitis of left tibial vein,NONE
I808,Phlebitis and thrombophlebitis of other sites,NONE
I81,Portal vein thrombosis,NONE
I820,Budd-Chiari syndrome,NONE
I821,Thrombophlebitis migrans,NONE
I809,Phlebitis and thrombophlebitis of unspecified site,NONE
I82210,Acute embolism and thrombosis of superior vena cava,NONE
I82211,Chronic embolism and thrombosis of superior vena cava,NONE
I82220,Acute embolism and thrombosis of inferior vena cava,NONE
I82221,Chronic embolism and thrombosis of inferior vena cava,NONE
I82290,Acute embolism and thrombosis of other thoracic veins,NONE
I82291,Chronic embolism and thrombosis of other thoracic veins,NONE
I82411,Acute embolism and thrombosis of right femoral vein,NONE
I823,Embolism and thrombosis of renal vein,NONE
I80233,"Phlebitis and thrombophlebitis of tibial vein, bilateral",NONE
I80239,Phlebitis and thrombophlebitis of unspecified tibial vein,NONE
I803,"Phlebitis and thrombophlebitis of lower extremities, unspecified",NONE
I80291,Phlebitis and thrombophlebitis of other deep vessels of right lower extremity,NONE
I80292,Phlebitis and thrombophlebitis of other deep vessels of left lower extremity,NONE
I80293,"Phlebitis and thrombophlebitis of other deep vessels of lower extremity, bilateral",NONE
I80299,Phlebitis and thrombophlebitis of other deep vessels of unspecified lower extremity,NONE
I82401,Acute embolism and thrombosis of unspecified deep veins of right lower extremity,NONE
I82402,Acute embolism and thrombosis of unspecified deep veins of left lower extremity,NONE
I82403,"Acute embolism and thrombosis of unspecified deep veins of lower extremity, bilateral",NONE
I82409,Acute embolism and thrombosis of unspecified deep veins of unspecified lower extremity,NONE
I80223,"Phlebitis and thrombophlebitis of popliteal vein, bilateral",NONE
I80229,Phlebitis and thrombophlebitis of unspecified popliteal vein,NONE
I82412,Acute embolism and thrombosis of left femoral vein,NONE
I82421,Acute embolism and thrombosis of right iliac vein,NONE
I82422,Acute embolism and thrombosis of left iliac vein,NONE
I82423,"Acute embolism and thrombosis of iliac vein, bilateral",NONE
I82429,Acute embolism and thrombosis of unspecified iliac vein,NONE
I82431,Acute embolism and thrombosis of right popliteal vein,NONE
I82432,Acute embolism and thrombosis of left popliteal vein,NONE
I82441,Acute embolism and thrombosis of right tibial vein,NONE
I82442,Acute embolism and thrombosis of left tibial vein,NONE
I82443,"Acute embolism and thrombosis of tibial vein, bilateral",NONE
I82449,Acute embolism and thrombosis of unspecified tibial vein,NONE
I82491,Acute embolism and thrombosis of other specified deep vein of right lower extremity,NONE
I82492,Acute embolism and thrombosis of other specified deep vein of left lower extremity,NONE
I82493,"Acute embolism and thrombosis of other specified deep vein of lower extremity, bilateral",NONE
I82499,Acute embolism and thrombosis of other specified deep vein of unspecified lower extremity,NONE
I824Y1,Acute embolism and thrombosis of unspecified deep veins of right proximal lower extremity,NONE
I824Y2,Acute embolism and thrombosis of unspecified deep veins of left proximal lower extremity,NONE
I824Y9,Acute embolism and thrombosis of unspecified deep veins of unspecified proximal lower,NONE
I824Z1,Acute embolism and thrombosis of unspecified deep veins of right distal lower extremity,NONE
I824Z2,Acute embolism and thrombosis of unspecified deep veins of left distal lower extremity,NONE
I82501,Chronic embolism and thrombosis of unspecified deep veins of right lower extremity,NONE
I824Z3,"Acute embolism and thrombosis of unspecified deep veins of distal lower extremity, bilateral",NONE
I824Z9,Acute embolism and thrombosis of unspecified deep veins of unspecified distal lower extremity,NONE
I824Y3,"Acute embolism and thrombosis of unspecified deep veins of proximal lower extremity, bilateral",NONE
I82433,"Acute embolism and thrombosis of popliteal vein, bilateral",NONE
I82439,Acute embolism and thrombosis of unspecified popliteal vein,NONE
I82413,"Acute embolism and thrombosis of femoral vein, bilateral",NONE
I82419,Acute embolism and thrombosis of unspecified femoral vein,NONE
I82502,Chronic embolism and thrombosis of unspecified deep veins of left lower extremity,NONE
I82511,Chronic embolism and thrombosis of right femoral vein,NONE
I82512,Chronic embolism and thrombosis of left femoral vein,NONE
I82521,Chronic embolism and thrombosis of right iliac vein,NONE
I82522,Chronic embolism and thrombosis of left iliac vein,NONE
I82523,"Chronic embolism and thrombosis of iliac vein, bilateral",NONE
I82529,Chronic embolism and thrombosis of unspecified iliac vein,NONE
I82531,Chronic embolism and thrombosis of right popliteal vein,NONE
I82532,Chronic embolism and thrombosis of left popliteal vein,NONE
I82541,Chronic embolism and thrombosis of right tibial vein,NONE
I82542,Chronic embolism and thrombosis of left tibial vein,NONE
I82543,"Chronic embolism and thrombosis of tibial vein, bilateral",NONE
I82549,Chronic embolism and thrombosis of unspecified tibial vein,NONE
I82591,Chronic embolism and thrombosis of other specified deep vein of right lower extremity,NONE
I82592,Chronic embolism and thrombosis of other specified deep vein of left lower extremity,NONE
I82593,"Chronic embolism and thrombosis of other specified deep vein of lower extremity, bilateral",NONE
I82599,Chronic embolism and thrombosis of other specified deep vein of unspecified lower extremity,NONE
I825Y1,Chronic embolism and thrombosis of unspecified deep veins of right proximal lower extremity,NONE
I825Y2,Chronic embolism and thrombosis of unspecified deep veins of left proximal lower extremity,NONE
I825Y3,"Chronic embolism and thrombosis of unspecified deep veins of proximal lower extremity,",NONE
I825Y9,Chronic embolism and thrombosis of unspecified deep veins of unspecified proximal lower,NONE
I82533,"Chronic embolism and thrombosis of popliteal vein, bilateral",NONE
I82539,Chronic embolism and thrombosis of unspecified popliteal vein,NONE
I82513,"Chronic embolism and thrombosis of femoral vein, bilateral",NONE
I82519,Chronic embolism and thrombosis of unspecified femoral vein,NONE
I82503,"Chronic embolism and thrombosis of unspecified deep veins of lower extremity, bilateral",NONE
I82509,Chronic embolism and thrombosis of unspecified deep veins of unspecified lower extremity,NONE
I825Z1,Chronic embolism and thrombosis of unspecified deep veins of right distal lower extremity,NONE
I825Z2,Chronic embolism and thrombosis of unspecified deep veins of left distal lower extremity,NONE
I825Z9,Chronic embolism and thrombosis of unspecified deep veins of unspecified distal lower,NONE
I82601,Acute embolism and thrombosis of unspecified veins of right upper extremity,NONE
I82602,Acute embolism and thrombosis of unspecified veins of left upper extremity,NONE
I82611,Acute embolism and thrombosis of superficial veins of right upper extremity,NONE
I82612,Acute embolism and thrombosis of superficial veins of left upper extremity,NONE
I82621,Acute embolism and thrombosis of deep veins of right upper extremity,NONE
I82622,Acute embolism and thrombosis of deep veins of left upper extremity,NONE
I82623,"Acute embolism and thrombosis of deep veins of upper extremity, bilateral",NONE
